PID,Gist_English_by_Sant_Singh
P0010L14,"Blessed, blessed is the Sat Sangat, the True Congregation, where the Lord's Essence is obtained. Meeting with His humble servant, O Nanak, the Light of the Naam shines forth. ||4||4||"
P0010L15,"Raag Goojaree, Fifth Mehl:"
P0010L16,"Why, O mind, do you plot and plan, when the Dear Lord Himself provides for your care?"
P0010L17,From rocks and stones He created living beings; He places their nourishment before them. ||1||
P0010L18,"O my Dear Lord of souls, one who joins the Sat Sangat, the True Congregation, is saved."
P0010L19,"By Guru's Grace, the supreme status is obtained, and the dry wood blossoms forth again in lush greenery. ||1||Pause||"
P0010L20,"Mothers, fathers, friends, children and spouses-no one is the support of anyone else."
P0010L21,"For each and every person, our Lord and Master provides sustenance. Why are you so afraid, O mind? ||2||"
P0010L22,"The flamingoes fly hundreds of miles, leaving their young ones behind."
P0010L23,"Who feeds them, and who teaches them to feed themselves? Have you ever thought of this in your mind? ||3||"
P0010L24,"All the nine treasures, and the eighteen supernatural powers are held by our Lord and Master in the Palm of His Hand."
P0010L25,"Servant Nanak is devoted, dedicated, forever a sacrifice to You, Lord. Your Expanse has no limit, no boundary. ||4||5||"
P0010L26,"Raag Aasaa, Fourth Mehl, So Purakh ~ That Primal Being:"
P0010L27,One Universal Creator God. By The Grace Of The True Guru:
P0010L28,"That Primal Being is Immaculate and Pure. The Lord, the Primal Being, is Immaculate and Pure. The Lord is Inaccessible, Unreachable and Unrivalled."
P0010L29,"All meditate, all meditate on You, Dear Lord, O True Creator Lord."
P0010L30,All living beings are Yours-You are the Giver of all souls.
P0010L31,"Meditate on the Lord, O Saints; He is the Dispeller of all sorrow."
P0010L32,"The Lord Himself is the Master, the Lord Himself is the Servant. O Nanak, the poor beings are wretched and miserable! ||1||"
P0011L01,"You are constant in each and every heart, and in all things. O Dear Lord, you are the One."
P0011L02,"Some are givers, and some are beggars. This is all Your Wondrous Play."
P0011L03,"You Yourself are the Giver, and You Yourself are the Enjoyer. I know no other than You."
P0011L04,"You are the Supreme Lord God, Limitless and Infinite. What Virtues of Yours can I speak of and describe?"
P0011L05,"Unto those who serve You, unto those who serve You, Dear Lord, servant Nanak is a sacrifice. ||2||"
P0011L06,"Those who meditate on You, Lord, those who meditate on You-those humble beings dwell in peace in this world."
P0011L07,"They are liberated, they are liberated-those who meditate on the Lord. For them, the noose of death is cut away."
P0011L08,"Those who meditate on the Fearless One, on the Fearless Lord-all their fears are dispelled."
P0011L09,"Those who serve, those who serve my Dear Lord, are absorbed into the Being of the Lord, Har, Har."
P0011L10,"Blessed are they, blessed are they, who meditate on their Dear Lord. Servant Nanak is a sacrifice to them. ||3||"
P0011L11,"Devotion to You, devotion to You, is a treasure overflowing, infinite and beyond measure."
P0011L12,"Your devotees, Your devotees praise You, Dear Lord, in many and various and countless ways."
P0011L13,"For You, many, for You, so very many perform worship services, O Dear Infinite Lord; they practice disciplined meditation and chant endlessly."
P0011L14,"For You, many, for You, so very many read the various Simritees and Shaastras. They perform rituals and religious rites."
P0011L15,"Those devotees, those devotees are sublime, O servant Nanak, who are pleasing to my Dear Lord God. ||4||"
P0011L16,"You are the Primal Being, the Most Wonderful Creator. There is no other as Great as You."
P0011L17,"Age after age, You are the One. Forever and ever, You are the One. You never change, O Creator Lord."
P0011L18,Everything happens according to Your Will. You Yourself accomplish all that occurs.
P0011L19,"You Yourself created the entire universe, and having fashioned it, You Yourself shall destroy it all."
P0011L20,"Servant Nanak sings the Glorious Praises of the Dear Creator, the Knower of all. ||5||1||"
P0011L21,"Aasaa, Fourth Mehl:"
P0011L22,"You are the True Creator, my Lord and Master."
P0011L23,"Whatever pleases You comes to pass. As You give, so do we receive. ||1||Pause||"
P0011L24,"All belong to You, all meditate on you."
P0011L25,"Those who are blessed with Your Mercy obtain the Jewel of the Naam, the Name of the Lord."
P0011L26,"The Gurmukhs obtain it, and the self-willed manmukhs lose it."
P0011L27,"You Yourself separate them from Yourself, and You Yourself reunite with them again. ||1||"
P0011L28,You are the River of Life; all are within You.
P0011L29,There is no one except You.
P0011L30,All living beings are Your playthings.
P0011L31,"The separated ones meet, and by great good fortune, those suffering in separation are reunited once again. ||2||"
P0011L32,"They alone understand, whom You inspire to understand;"
P0011L33,They continually chant and repeat the Lord's Praises.
P0011L34,Those who serve You find peace.
P0011L35,They are intuitively absorbed into the Lord's Name. ||3||
P0012L01,You Yourself are the Creator. Everything that happens is by Your Doing.
P0012L02,There is no one except You.
P0012L03,You created the creation; You behold it and understand it.
P0012L04,"O servant Nanak, the Lord is revealed through the Gurmukh, the Living Expression of the Guru's Word. ||4||2||"
P0012L05,"Aasaa, First Mehl:"
P0012L06,"In that pool, people have made their homes, but the water there is as hot as fire!"
P0012L07,"In the swamp of emotional attachment, their feet cannot move. I have seen them drowning there. ||1||"
P0012L08,"In your mind, you do not remember the One Lord-you fool!"
P0012L09,You have forgotten the Lord; your virtues shall wither away. ||1||Pause||
P0012L10,"I am not celibate, nor truthful, nor scholarly. I was born foolish and ignorant into this world."
P0012L11,"Prays Nanak, I seek the Sanctuary of those who have not forgotten You, O Lord! ||2||3||"
P0012L12,"Aasaa, Fifth Mehl:"
P0012L13,This human body has been given to you.
P0012L14,This is your chance to meet the Lord of the Universe.
P0012L15,Nothing else will work.
P0012L16,"Join the Saadh Sangat, the Company of the Holy; vibrate and meditate on the Jewel of the Naam. ||1||"
P0012L17,Make every effort to cross over this terrifying world-ocean.
P0012L18,You are squandering this life uselessly in the love of Maya. ||1||Pause||
P0012L19,"I have not practiced meditation, self-discipline, self-restraint or righteous living."
P0012L20,"I have not served the Holy; I have not acknowledged the Lord, my King."
P0012L21,"Says Nanak, my actions are contemptible!"
P0012L22,"O Lord, I seek Your Sanctuary; please, preserve my honor! ||2||4||"
P0012L23,"Sohilaa ~ The Song Of Praise. Raag Gauree Deepakee, First Mehl:"
P0012L24,One Universal Creator God. By The Grace Of The True Guru:
P0012L25,In that house where the Praises of the Creator are chanted and contemplated
P0012L26,"-in that house, sing Songs of Praise; meditate and remember the Creator Lord. ||1||"
P0012L27,Sing the Songs of Praise of my Fearless Lord.
P0012L28,I am a sacrifice to that Song of Praise which brings eternal peace. ||1||Pause||
P0012L29,"Day after day, He cares for His beings; the Great Giver watches over all."
P0012L30,Your Gifts cannot be appraised; how can anyone compare to the Giver? ||2||
P0012L31,"The day of my wedding is pre-ordained. Come, gather together and pour the oil over the threshold."
P0012L32,"My friends, give me your blessings, that I may merge with my Lord and Master. ||3||"
P0012L33,"Unto each and every home, into each and every heart, this summons is sent out; the call comes each and every day."
P0012L34,"Remember in meditation the One who summons us; O Nanak, that day is drawing near! ||4||1||"
P0012L35,"Raag Aasaa, First Mehl:"
P0012L36,"There are six schools of philosophy, six teachers, and six sets of teachings."
P0012L37,"But the Teacher of teachers is the One, who appears in so many forms. ||1||"
P0012L38,O Baba: that system in which the Praises of the Creator are sung
P0012L39,-follow that system; in it rests true greatness. ||1||Pause||
P0012L40,"The seconds, minutes and hours, days, weeks and months,"
P0012L41,And the various seasons originate from the one sun;
P0013L01,"O Nanak, in just the same way, the many forms originate from the Creator. ||2||2||"
P0013L02,"Raag Dhanaasaree, First Mehl:"
P0013L03,"Upon that cosmic plate of the sky, the sun and the moon are the lamps. The stars and their orbs are the studded pearls."
P0013L04,"Raag Dhanaasaree, First Mehl:"
P0013L05,"What a beautiful Aartee, lamp-lit worship service this is!"
P0013L06,"O Destroyer of Fear, this is Your Ceremony of Light."
P0013L07,The Unstruck Sound-current of the Shabad is the vibration of the temple drums. ||1||Pause||
P0013L08,"You have thousands of eyes, and yet You have no eyes. You have thousands of forms, and yet You do not have even one."
P0013L09,"You have thousands of Lotus Feet, and yet You do not have even one foot. You have no nose, but you have thousands of noses. This Play of Yours entrances me. ||2||"
P0013L10,Amongst all is the Light-You are that Light.
P0013L11,"By this Illumination, that Light is radiant within all."
P0013L12,"Through the Guru's Teachings, the Light shines forth."
P0013L13,That which is pleasing to Him is the lamp-lit worship service. ||3||
P0013L14,"My mind is enticed by the honey-sweet Lotus Feet of the Lord. Day and night, I thirst for them."
P0013L15,"Bestow the Water of Your Mercy upon Nanak, the thirsty song-bird, so that he may come to dwell in Your Name. ||4||3||"
P0013L16,"Raag Gauree Poorbee, Fourth Mehl:"
P0013L17,The body-village is filled to overflowing with anger and sexual desire; these were broken into bits when I met with the Holy Saint.
P0013L18,"By pre-ordained destiny, I have met with the Guru. I have entered into the realm of the Lord's Love. ||1||"
P0013L19,Greet the Holy Saint with your palms pressed together; this is an act of great merit.
P0013L20,Bow down before Him; this is a virtuous action indeed. ||1||Pause||
P0013L21,"The wicked shaaktas, the faithless cynics, do not know the Taste of the Lord's Sublime Essence. The thorn of egotism is embedded deep within them."
P0013L22,"The more they walk away, the deeper it pierces them, and the more they suffer in pain, until finally, the Messenger of Death smashes his club against their heads. ||2||"
P0013L23,"The humble servants of the Lord are absorbed in the Name of the Lord, Har, Har. The pain of birth and the fear of death are eradicated."
